ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Malaysia,386457,392969,779426,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Maldives,2208,1942,4150,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,Marshall Islands,10,1,11,,,,,,,République Démocratique du Congo,0,29,29,0%
,,,,,,,,,,,,,,,Micronesia FSM,1,1,2,,,,,,,Reunion,1031,0,1031,0%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Saint  Helena,1,0,1,0%
,,,,,,,,,,,,,,,Mongolia,1201,1959,3160,,,,,,,Sao Tome/Principe,0,0,0,0%
,,,,,,,,,,,,,,,Myanmar,30775,34206,64981,,,,,,,South Sudan,0,9,9,0%
,,,,,,,,,,,,,,,N. Mariana Islands,0,0,0,,,,,,,Transkei,0,0,0,0%
,,,,,,,,,,,,,,,Nauru,10,2,12,,,,,,,Western  Sahara,0,0,0,0%
,,,,,,,,,,,,,,,Nepal,4300,2999,7299,,,,,,,Anguilla,0,0,0,0%
,,,,,,,,,,,,,,,New Caledonia,203,0,203,,,,,,,Aruba,1,0,1,0%
,,,,,,,,,,,,,,,New Zealand,6806,7340,14146,,,,,,,Bermuda,14,0,14,0%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,Bonaire,0,0,0,0%
,,,,,,,,,,,,,,,Norfalk  Island,0,0,0,,,,,,,British  Virgin  Islands,0,0,0,0%
,,,,,,,,,,,,,,,North Korea,0,0,0,,,,,,,British Colony,0,0,0,0%
,,,,,,,,,,,,,,,Pakistan,6252,5265,11517,,,,,,,Cayman  Islands,11,0,11,0%
,,,,,,,,,,,,,,,Palau,12,1,13,,,,,,,Clipperton  Island,0,0,0,0%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Curacao,1,0,1,0%
,,,,,,,,,,,,,,,Papua New Guinea,144,93,237,,,,,,,Falkland  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Philippines,43331,43514,86845,,,,,,,French  Guiana,0,0,0,0%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Greenland,3,0,3,0%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Guadalope,8,0,8,0%
,,,,,,,,,,,,,,,Samoa,23,0,23,,,,,,,Guatamala,,66,66,0%
,,,,,,,,,,,,,,,Singapore,113717,109508,223225,,,,,,,Guatemala,84,,84,0%
,,,,,,,,,,,,,,,Solomon  Islands,13,2,15,,,,,,,Jamaica,20,,20,0%
,,,,,,,,,,,,,,,Sri Lanka,5657,4131,9788,,,,,,,Jamica,,37,37,0%
,,,,,,,,,,,,,,,Taiwan,66277,66537,132814,,,,,,,Martinique,6,0,6,0%
,,,,,,,,,,,,,,,Timor0Leste,128,20,148,,,,,,,Montserrat,0,0,0,0%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Navassa Island,0,,0,0%
,,,,,,,,,,,,,,,Tonga,16,5,21,,,,,,,Netherlands  Antilles,0,0,0,0%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Saba,0,0,0,0%
,,,,,,,,,,,,,,,Tuvalu,3,0,3,,,,,,,Saint  Barthelemy,0,0,0,0%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Saint  Eustatius,0,0,0,0%
,,,,,,,,,,,,,,,Vanautu,,143,143,,,,,,,Saint  Martin,1,0,1,0%
,,,,,,,,,,,,,,,Vanuatu,85,,85,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,0%
,,,,,,,,,,,,,,,Vietnam,81950,70017,151967,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,0%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,St.  Maarten,1,0,1,0%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,0,0,0,,,,,,,Surinam,,18,18,0%
,,,,,,,,,,,,,,,Europe,682804,660728,1343532,,,,,,,Suriname,19,,19,0%
,,,,,,,,,,,,,,,ALBANIA,153,172,325,,,,,,,Turks  and  Caicos,0,0,0,0%
,,,,,,,,,,,,,,,ANDORRA,54,21,75,,,,,,,United  States Virgin  Island,0,0,0,0%
,,,,,,,,,,,,,,,Armenia,116,107,223,,,,,,,Afganistan,,49,49,0%
,,,,,,,,,,,,,,,Austria,10515,9621,20136,,,,,,,Afghanistan,161,,161,0%
,,,,,,,,,,,,,,,Azerbaijan,187,217,404,,,,,,,American Samoa,0,1,1,0%
,,,,,,,,,,,,,,,Belarus,1326,1221,2547,,,,,,,Ashmore and  Cartier  Islands,0,,0,0%
,,,,,,,,,,,,,,,Belgium,10904,9761,20665,,,,,,,Baker  Island,0,0,0,0%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,110,169,279,,,,,,,Bouvet  Island,0,0,0,0%
,,,,,,,,,,,,,,,Bulgaria,1383,1798,3181,,,,,,,British Antarctic Territory,0,0,0,0%
,,,,,,,,,,,,,,,Channel Islands,14,,14,,,,,,,British Indian Ocean Territory,0,0,0,0%
,,,,,,,,,,,,,,,Croatia,898,810,1708,,,,,,,Caroline Islands,0,0,0,0%
,,,,,,,,,,,,,,,Cyprus,314,232,546,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,Czech Republic,5572,6754,12326,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Denmark,11684,11307,22991,,,,,,,Cook  Islands,4,0,4,0%
,,,,,,,,,,,,,,,Estonia,2224,2063,4287,,,,,,,Coral  Sea  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Faeroe Islands ,32,0,32,,,,,,,French  Polynesia,109,0,109,0%
,,,,,,,,,,,,,,,Finland,13356,9747,23103,,,,,,,Guam,53,0,53,0%
,,,,,,,,,,,,,,,France,61338,55828,117166,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,0%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Howland Island,0,0,0,0%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,Jarvis  Island,0,0,0,0%
,,,,,,,,,,,,,,,Georgia,196,198,394,,,,,,,Johnston Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Germany,91704,87850,179554,,,,,,,Kingman  Reef,0,0,0,0%
,,,,,,,,,,,,,,,Gibraltar,35,0,35,,,,,,,Kiribati,5,0,5,0%
,,,,,,,,,,,,,,,Greece,2069,2256,4325,,,,,,,Marshall Islands,4,0,4,0%
,,,,,,,,,,,,,,,Guernsey,36,0,36,,,,,,,Midway  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Hungary,3100,3238,6338,,,,,,,N. Mariana Islands,4,0,4,0%
,,,,,,,,,,,,,,,Iceland,375,341,716,,,,,,,New Caledonia,194,0,194,0%
,,,,,,,,,,,,,,,Ireland,4114,5900,10014,,,,,,,Niue,0,0,0,0%
,,,,,,,,,,,,,,,Isle of Man,27,0,27,,,,,,,Norfalk  Island,0,0,0,0%
,,,,,,,,,,,,,,,Israel,11385,6962,18347,,,,,,,North Korea,0,0,0,0%
,,,,,,,,,,,,,,,Italy,21776,19955,41731,,,,,,,Palmyra Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Jersey,63,0,63,,,,,,,Pitcairn Islands,0,0,0,0%
,,,,,,,,,,,,,,,Kazakhstan,4501,21842,26343,,,,,,,Ross  Dependency,0,0,0,0%
,,,,,,,,,,,,,,,Kosovo,0,152,152,,,,,,,Samoa,38,0,38,0%
,,,,,,,,,,,,,,,Kyrgyzstan,338,522,860,,,,,,,Tokelau,0,0,0,0%
,,,,,,,,,,,,,,,Latvia,1519,1385,2904,,,,,,,Trust Pacific,0,0,0,0%
,,,,,,,,,,,,,,,Liechtenstein,113,77,190,,,,,,,Tuvalu,0,0,0,0%
,,,,,,,,,,,,,,,Lithuania,2984,2397,5381,,,,,,,United States Minor Outlying Island,0,0,0,0%
,,,,,,,,,,,,,,,Luxembourg,655,544,1199,,,,,,,Vanautu,,129,129,0%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Vanuatu,75,,75,0%
,,,,,,,,,,,,,,,Malta,234,219,453,,,,,,,Wake  Island,0,0,0,0%
,,,,,,,,,,,,,,,Moldova,65,51,116,,,,,,,Wallis  and  Futuna  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Monaco,123,22,145,,,,,,,Channel Islands,3,,3,0%
,,,,,,,,,,,,,,,Montenegro,98,63,161,,,,,,,Faeroe Islands ,9,0,9,0%
,,,,,,,,,,,,,,,Netherlands,20051,22716,42767,,,,,,,France  Mtr.,0,,0,0%
,,,,,,,,,,,,,,,North Macedonia,198,77,275,,,,,,,French Southern and Antarctic Territories,0,0,0,0%
,,,,,,,,,,,,,,,Norway,11550,7824,19374,,,,,,,Gibraltar,36,0,36,0%
,,,,,,,,,,,,,,,Poland,22565,21995,44560,,,,,,,Guernsey,31,0,31,0%
,,,,,,,,,,,,,,,Portugal,5444,5607,11051,,,,,,,Isle of Man,7,0,7,0%
,,,,,,,,,,,,,,,Romania,5038,4538,9576,,,,,,,Jersey,22,0,22,0%
,,,,,,,,,,,,,,,Russian Federation,183521,177517,361038,,,,,,,Kosovo,0,19,19,0%
,,,,,,,,,,,,,,,San Marino,25,8,33,,,,,,,Madiera Islands,0,0,0,0%
,,,,,,,,,,,,,,,Serbia,920,772,1692,,,,,,,Utopia,0,0,0,0%
,,,,,,,,,,,,,,,Slovakia,2491,2549,5040,,,,,,,Vatican City State,0,0,0,0%
,,,,,,,,,,,,,,,Slovenia,1134,1006,2140,,,,,,,Yugoslavia,0,,0,0%
,,,,,,,,,,,,,,,Spain,18053,19174,37227,,,,,,,Libia,,40,40,0%
,,,,,,,,,,,,,,,Sweden,22447,17550,39997,,,,,,,Libya,24,,24,0%
,,,,,,,,,,,,,,,Switzerland,21012,17419,38431,,,,,,,other,770,,770,0%
,,,,,,,,,,,,,,,Tajikistan,79,62,141,,,,,,,stateless person,770,,770,0%
,,,,,,,,,,,,,,,Turkey,7642,8813,16455,,,,,,,Unspecified,0,,0,0%
,,,,,,,,,,,,,,,Turkmenistan,194,41,235,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,Ukraine,8780,3673,12453,,,,,,,Canary  Islands,0,0,0,0%
,,,,,,,,,,,,,,,United Kingdom,84416,81964,166380,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,Uzbekistan,1554,3621,5175,,,,,,,Equatorial  Guinea,0,1,1,0%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Guinea0Bissau,2,0,2,0%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Middle East,32253,45710,77963,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,Bahrain,2135,1870,4005,,,,,,,République Démocratique du Congo,0,20,20,0%
,,,,,,,,,,,,,,,Egypt,1850,1411,3261,,,,,,,République du Congo,63,0,63,0%
,,,,,,,,,,,,,,,Iraq,363,382,745,,,,,,,Reunion,1290,0,1290,0%
,,,,,,,,,,,,,,,Jordan,1087,764,1851,,,,,,,Sao Tome/Principe,0,0,0,0%
,,,,,,,,,,,,,,,Kuwait,5163,4024,9187,,,,,,,South Sudan,0,0,0,0%
,,,,,,,,,,,,,,,Lebanon,558,314,872,,,,,,,Transkei,0,0,0,0%
,,,,,,,,,,,,,,,Libia,,45,45,,,,,,,Western  Sahara,0,0,0,0%
,,,,,,,,,,,,,,,Libya,20,,20,,,,,,,Anguilla,0,0,0,0%
,,,,,,,,,,,,,,,Oman,6644,6432,13076,,,,,,,Aruba,0,0,0,0%
,,,,,,,,,,,,,,,Palestine,70,172,242,,,,,,,Bermuda,16,0,16,0%
,,,,,,,,,,,,,,,Qatar,1647,1355,3002,,,,,,,Bonaire,0,0,0,0%
,,,,,,,,,,,,,,,Saudi Arabia,2058,21089,23147,,,,,,,British  Virgin  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Syria,325,335,660,,,,,,,British Colony,0,0,0,0%
,,,,,,,,,,,,,,,U.A.E.,9963,6711,16674,,,,,,,Cayman  Islands,17,0,17,0%
,,,,,,,,,,,,,,,Yemen,370,806,1176,,,,,,,Clipperton  Island,0,0,0,0%
,,,,,,,,,,,,,,,other,1035,,1035,,,,,,,Curacao,0,0,0,0%
,,,,,,,,,,,,,,,stateless person,1035,,1035,,,,,,,Falkland  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,French  Guiana,0,0,0,0%
,,,,,,,,,,,,,,,Dec,3947337,3261257,7208594,,,,,,,Greenland,28,0,28,0%
,,,,,,,,,,,,,,,Africa,28934,18687,47621,,,,,,,Grenada,0,21,21,0%
,,,,,,,,,,,,,,,Algeria,240,233,473,,,,,,,Guadalope,9,0,9,0%
,,,,,,,,,,,,,,,Angola,12,19,31,,,,,,,Guatamala,,62,62,0%
,,,,,,,,,,,,,,,Benin,5,11,16,,,,,,,Guatemala,93,,93,0%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Jamaica,30,,30,0%
,,,,,,,,,,,,,,,Botswana,146,36,182,,,,,,,Jamica,,40,40,0%
,,,,,,,,,,,,,,,Burkina  Faso,23,6,29,,,,,,,Martinique,4,0,4,0%
,,,,,,,,,,,,,,,Burundi,20,3,23,,,,,,,Montserrat,0,0,0,0%
,,,,,,,,,,,,,,,Cameroon,52,31,83,,,,,,,Navassa Island,0,,0,0%
,,,,,,,,,,,,,,,Canary  Islands,2,0,2,,,,,,,Netherlands  Antilles,0,0,0,0%
,,,,,,,,,,,,,,,Cape Verde Rep.,1,9,10,,,,,,,Saba,0,0,0,0%
,,,,,,,,,,,,,,,Central African Republic,2,1,3,,,,,,,Saint  Barthelemy,0,0,0,0%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Saint  Eustatius,0,0,0,0%
,,,,,,,,,,,,,,,Chad,3,12,15,,,,,,,Saint  Martin,0,0,0,0%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,0%
,,,,,,,,,,,,,,,Comoros,27,89,116,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,0%
,,,,,,,,,,,,,,,Côte d'Ivoire,67,25,92,,,,,,,St.  Maarten,0,0,0,0%
,,,,,,,,,,,,,,,Djibouti,18,8,26,,,,,,,St.  Vincent  and  The  Grenadines,1,0,1,0%
,,,,,,,,,,,,,,,Equatorial  Guinea,2,3,5,,,,,,,Surinam,,12,12,0%
,,,,,,,,,,,,,,,Eritrea,39,82,121,,,,,,,Suriname,17,,17,0%
,,,,,,,,,,,,,,,Eswatini,11,13,24,,,,,,,Turks  and  Caicos,1,0,1,0%
,,,,,,,,,,,,,,,Ethiopia,1608,1344,2952,,,,,,,United  States Virgin  Island,0,0,0,0%
,,,,,,,,,,,,,,,Gabon,5,5,10,,,,,,,Afganistan,,43,43,0%
,,,,,,,,,,,,,,,Gambia,4,5,9,,,,,,,Afghanistan,136,,136,0%
,,,,,,,,,,,,,,,Ghana,161,50,211,,,,,,,American Samoa,0,4,4,0%
,,,,,,,,,,,,,,,Guinea,50,31,81,,,,,,,Ashmore and  Cartier  Islands,0,,0,0%
,,,,,,,,,,,,,,,Guinea0Bissau,0,2,2,,,,,,,Baker  Island,0,0,0,0%
,,,,,,,,,,,,,,,Kenya,1677,805,2482,,,,,,,Bouvet  Island,0,0,0,0%
,,,,,,,,,,,,,,,Lesotho,40,2,42,,,,,,,British Antarctic Territory,0,0,0,0%
,,,,,,,,,,,,,,,Liberia,21,7,28,,,,,,,British Indian Ocean Territory,0,0,0,0%
,,,,,,,,,,,,,,,Madagascar,196,46,242,,,,,,,Caroline Islands,0,0,0,0%
,,,,,,,,,,,,,,,Malawi,26,27,53,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,Mali,50,33,83,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Mauritania,3,10,13,,,,,,,Cook  Islands,6,0,6,0%
,,,,,,,,,,,,,,,Mauritius,1863,1740,3603,,,,,,,Coral  Sea  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,French  Polynesia,30,0,30,0%
,,,,,,,,,,,,,,,Mayotte,60,1,61,,,,,,,Guam,70,0,70,0%
,,,,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Morocco,964,1010,1974,,,,,,,Howland Island,0,0,0,0%
,,,,,,,,,,,,,,,Mozambique,189,142,331,,,,,,,Jarvis  Island,0,0,0,0%
,,,,,,,,,,,,,,,Namibia,272,76,348,,,,,,,Johnston Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Niger,8,12,20,,,,,,,Kingman  Reef,0,0,0,0%
,,,,,,,,,,,,,,,Nigeria,409,136,545,,,,,,,Micronesia FSM,0,0,0,0%
,,,,,,,,,,,,,,,République Démocratique du Congo,0,26,26,,,,,,,Midway  Islands,0,0,0,0%
,,,,,,,,,,,,,,,République du Congo,107,3,110,,,,,,,N. Mariana Islands,3,0,3,0%
,,,,,,,,,,,,,,,Reunion,1167,0,1167,,,,,,,New Caledonia,262,0,262,0%
,,,,,,,,,,,,,,,Rwanda,24,10,34,,,,,,,Niue,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Helena,2,1,3,,,,,,,Norfalk  Island,0,0,0,0%
,,,,,,,,,,,,,,,Sao Tome/Principe,0,0,0,,,,,,,North Korea,0,0,0,0%
,,,,,,,,,,,,,,,Senegal,118,53,171,,,,,,,Palau,0,5,5,0%
,,,,,,,,,,,,,,,Seychelles,431,207,638,,,,,,,Palmyra Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Sierra Leone,9,11,20,,,,,,,Pitcairn Islands,0,0,0,0%
,,,,,,,,,,,,,,,Somalia,18,64,82,,,,,,,Ross  Dependency,0,0,0,0%
,,,,,,,,,,,,,,,South  Africa,16896,10694,27590,,,,,,,Samoa,8,0,8,0%
,,,,,,,,,,,,,,,South Sudan,0,4,4,,,,,,,Tokelau,0,0,0,0%
,,,,,,,,,,,,,,,Sudan,362,352,714,,,,,,,Trust Pacific,0,0,0,0%
,,,,,,,,,,,,,,,Tanzania,280,286,566,,,,,,,Tuvalu,0,0,0,0%
,,,,,,,,,,,,,,,Togo,23,2,25,,,,,,,United States Minor Outlying Island,0,0,0,0%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Vanautu,,159,159,0%
,,,,,,,,,,,,,,,Tunisia,525,467,992,,,,,,,Vanuatu,59,,59,0%
,,,,,,,,,,,,,,,Uganda,358,193,551,,,,,,,Wake  Island,0,0,0,0%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Wallis  and  Futuna  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Zambia,144,60,204,,,,,,,Channel Islands,3,,3,0%
,,,,,,,,,,,,,,,Zimbabwe,194,189,383,,,,,,,Faeroe Islands ,8,0,8,0%
,,,,,,,,,,,,,,,America,176059,160267,336326,,,,,,,France  Mtr.,0,,0,0%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,French Southern and Antarctic Territories,0,0,0,0%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,8,17,25,,,,,,,Gibraltar,9,0,9,0%
,,,,,,,,,,,,,,,Argentina,2902,2335,5237,,,,,,,Guernsey,27,0,27,0%
,,,,,,,,,,,,,,,Aruba,2,0,2,,,,,,,Isle of Man,18,0,18,0%
,,,,,,,,,,,,,,,Bahamas,17,7,24,,,,,,,Jersey,34,0,34,0%
,,,,,,,,,,,,,,,Barbados,4,5,9,,,,,,,Kosovo,0,80,80,0%
,,,,,,,,,,,,,,,Belize,4,8,12,,,,,,,Madiera Islands,0,0,0,0%
,,,,,,,,,,,,,,,Bermuda,24,0,24,,,,,,,Utopia,0,0,0,0%
,,,,,,,,,,,,,,,Bolivia,59,55,114,,,,,,,Vatican City State,0,0,0,0%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Yugoslavia,0,,0,0%
,,,,,,,,,,,,,,,Brazil,9157,8048,17205,,,,,,,Libia,,39,39,0%
,,,,,,,,,,,,,,,British  Virgin  Islands,8,0,8,,,,,,,Libya,28,,28,0%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,other,948,,948,0%
,,,,,,,,,,,,,,,Canada,26472,27358,53830,,,,,,,stateless person,948,,948,0%
,,,,,,,,,,,,,,,Cayman  Islands,5,0,5,,,,,,,Unspecified,0,,0,0%
,,,,,,,,,,,,,,,Chile,1056,1328,2384,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,Burundi,0,2,2,0%
,,,,,,,,,,,,,,,Colombia,1566,1142,2708,,,,,,,Canary  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Costa rica,263,165,428,,,,,,,Central African Republic,3,0,3,0%
,,,,,,,,,,,,,,,Cuba,10,38,48,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,Dominica,11,79,90,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Ecuador,112,121,233,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,El Salvador,51,21,72,,,,,,,République Démocratique du Congo,0,19,19,0%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Reunion,928,0,928,0%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Saint  Helena,0,0,0,0%
,,,,,,,,,,,,,,,Greenland,71,0,71,,,,,,,Sao Tome/Principe,0,1,1,0%
,,,,,,,,,,,,,,,Grenada,7,10,17,,,,,,,South Sudan,0,3,3,0%
,,,,,,,,,,,,,,,Guadalope,2,0,2,,,,,,,Transkei,0,0,0,0%
,,,,,,,,,,,,,,,Guatamala,,100,100,,,,,,,Western  Sahara,0,0,0,0%
,,,,,,,,,,,,,,,Guatemala,107,,107,,,,,,,Anguilla,0,0,0,0%
,,,,,,,,,,,,,,,Guyana,8,5,13,,,,,,,Aruba,0,0,0,0%
,,,,,,,,,,,,,,,Haiti,2,8,10,,,,,,,Belize,0,4,4,0%
,,,,,,,,,,,,,,,Honduras,22,26,48,,,,,,,Bermuda,19,0,19,0%
,,,,,,,,,,,,,,,Jamaica,41,,41,,,,,,,Bonaire,0,0,0,0%
,,,,,,,,,,,,,,,Jamica,,46,46,,,,,,,British  Virgin  Islands,2,0,2,0%
,,,,,,,,,,,,,,,Martinique,8,0,8,,,,,,,British Colony,0,0,0,0%
,,,,,,,,,,,,,,,Mexico,3227,3354,6581,,,,,,,Cayman  Islands,4,0,4,0%
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,Clipperton  Island,0,0,0,0%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Curacao,0,0,0,0%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,6,6,,,,,,,Falkland  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Nicaragua,24,20,44,,,,,,,French  Guiana,2,0,2,0%
,,,,,,,,,,,,,,,Panama,80,29,109,,,,,,,Greenland,33,0,33,0%
,,,,,,,,,,,,,,,Paraguay,77,40,117,,,,,,,Guadalope,6,0,6,0%
,,,,,,,,,,,,,,,Peru,627,584,1211,,,,,,,Guatamala,,123,123,0%
,,,,,,,,,,,,,,,Puerto Rico,68,1,69,,,,,,,Guatemala,100,,100,0%
,,,,,,,,,,,,,,,República Dominicana,49,41,90,,,,,,,Jamaica,49,,49,0%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Jamica,,45,45,0%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Martinique,9,0,9,0%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Montserrat,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Lucia,8,14,22,,,,,,,Navassa Island,0,,0,0%
,,,,,,,,,,,,,,,Saint  Martin,0,0,0,,,,,,,Netherlands  Antilles,0,3,3,0%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,Puerto Rico,218,0,218,0%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Saba,0,0,0,0%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,15,93,108,,,,,,,Saint  Barthelemy,0,0,0,0%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Saint  Eustatius,0,0,0,0%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,2,0,2,,,,,,,Saint  Lucia,0,10,10,0%
,,,,,,,,,,,,,,,Surinam,,11,11,,,,,,,Saint  Martin,0,0,0,0%
,,,,,,,,,,,,,,,Suriname,10,,10,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,0%
,,,,,,,,,,,,,,,The United States of America,129438,114811,244249,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,0%
,,,,,,,,,,,,,,,Trinidad and Tobago,26,25,51,,,,,,,St.  Maarten,0,0,0,0%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,St.  Vincent  and  The  Grenadines,0,2,2,0%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Surinam,,14,14,0%
,,,,,,,,,,,,,,,Uruguay,338,187,525,,,,,,,Suriname,33,,33,0%
,,,,,,,,,,,,,,,Venezuela,71,129,200,,,,,,,Turks  and  Caicos,0,1,1,0%
,,,,,,,,,,,,,,,Asia and the Pacific,2832492,2218326,5050818,,,,,,,United  States Virgin  Island,0,0,0,0%
,,,,,,,,,,,,,,,Afganistan,,50,50,,,,,,,Afganistan,,30,30,0%
,,,,,,,,,,,,,,,Afghanistan,243,,243,,,,,,,Afghanistan,279,,279,0%
,,,,,,,,,,,,,,,American Samoa,0,2,2,,,,,,,American Samoa,0,0,0,0%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Ashmore and  Cartier  Islands,0,,0,0%
,,,,,,,,,,,,,,,Australia,68680,73624,142304,,,,,,,Baker  Island,0,0,0,0%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Bouvet  Island,0,0,0,0%
,,,,,,,,,,,,,,,Bangladesh,15479,14892,30371,,,,,,,British Antarctic Territory,0,0,0,0%
,,,,,,,,,,,,,,,Bhutan,2891,2394,5285,,,,,,,British Indian Ocean Territory,0,0,0,0%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Caroline Islands,0,0,0,0%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Brunei,2817,2632,5449,,,,,,,Cook  Islands,5,0,5,0%
